period_start_utc,MOD-00164,MOD-00166,MOD-00170,MOD-00174,MOD-00181,MOD-00182,MOD-00337,MOD-00343
2024-08-08 04:00:00+00:00,,,,,,,,
2024-08-08 05:00:00+00:00,,,,,,,,
2024-08-08 06:00:00+00:00,,,,,,,,
2024-08-08 07:00:00+00:00,,,,,,,,
2024-08-08 08:00:00+00:00,,,,,,,,
2024-08-08 09:00:00+00:00,,,,,,,,
2024-08-08 10:00:00+00:00,,,,,,,,
2024-08-08 11:00:00+00:00,,,,,,,,
2024-08-08 12:00:00+00:00,,,,,,,,
2024-08-08 13:00:00+00:00,,,,,,,,
2024-08-08 14:00:00+00:00,,,,,,,,
2024-08-08 15:00:00+00:00,,,,,,,,
2024-08-08 16:00:00+00:00,,,,,,,,
2024-08-08 17:00:00+00:00,,,,,,,,
2024-08-08 18:00:00+00:00,,,,,,,,
2024-08-08 19:00:00+00:00,,,,,,,,
2024-08-08 20:00:00+00:00,,,,,,,,
2024-08-08 21:00:00+00:00,,,,,,,,
2024-08-08 22:00:00+00:00,22.633,32.581,26.632,31.95,36.802,22.153,22.589,6.794
2024-08-08 23:00:00+00:00,32.107,33.296,32.499,28.745,33.159,31.127,28.35,8.251
2024-08-09 00:00:00+00:00,37.475,39.095,37.727,41.552,46.588,35.958,32.355,9.204
2024-08-09 01:00:00+00:00,34.122,36.68,33.774,39.791,44.676,34.346,27.147,9.226
2024-08-09 02:00:00+00:00,27.823,33.59,28.741,37.084,41.73,31.598,12.735,2.414
2024-08-09 03:00:00+00:00,18.718,31.741,23.671,35.428,39.915,29.954,8.448,1.046
2024-08-09 04:00:00+00:00,13.397,28.646,14.787,33.82,38.084,19.737,11.296,1.039
2024-08-09 05:00:00+00:00,12.613,14.375,12.904,32.207,34.431,13.427,11.79,1.391
2024-08-09 06:00:00+00:00,12.587,12.638,12.565,21.049,31.873,12.62,10.321,4.826
2024-08-09 07:00:00+00:00,12.586,12.626,12.554,13.515,30.608,12.616,10.299,4.091
2024-08-09 08:00:00+00:00,12.58,12.621,12.548,13.179,26.891,12.6,10.279,2.605
2024-08-09 09:00:00+00:00,12.583,12.615,12.56,14.008,29.496,12.61,10.367,5.887
2024-08-09 10:00:00+00:00,12.606,12.635,12.586,16.923,31.726,12.629,11.111,7.753
2024-08-09 11:00:00+00:00,12.63,12.657,12.612,16.184,30.17,12.651,12.216,9.059
2024-08-09 12:00:00+00:00,12.628,12.69,12.514,14.095,26.535,12.565,12.351,5.948
2024-08-09 13:00:00+00:00,11.094,11.461,9.199,32.806,38.474,10.16,8.803,1.299
2024-08-09 14:00:00+00:00,8.433,18.018,9.122,33.85,37.442,13.33,9.458,1.961
2024-08-09 15:00:00+00:00,10.962,24.569,11.762,25.417,24.348,22.62,8.95,2.389
2024-08-09 16:00:00+00:00,8.485,8.303,8.116,7.344,9.686,8.241,7.109,5.132
2024-08-09 17:00:00+00:00,6.387,7.147,6.238,6.373,3.733,5.769,5.544,3.778
