period_start_utc,MOD-00164,MOD-00166,MOD-00170,MOD-00174,MOD-00181,MOD-00182,MOD-00337,MOD-00343
2024-08-08 04:00:00+00:00,,,,,,,,
2024-08-08 05:00:00+00:00,,,,,,,,
2024-08-08 06:00:00+00:00,,,,,,,,
2024-08-08 07:00:00+00:00,,,,,,,,
2024-08-08 08:00:00+00:00,,,,,,,,
2024-08-08 09:00:00+00:00,,,,,,,,
2024-08-08 10:00:00+00:00,,,,,,,,
2024-08-08 11:00:00+00:00,,,,,,,,
2024-08-08 12:00:00+00:00,,,,,,,,
2024-08-08 13:00:00+00:00,,,,,,,,
2024-08-08 14:00:00+00:00,,,,,,,,
2024-08-08 15:00:00+00:00,,,,,,,,
2024-08-08 16:00:00+00:00,,,,,,,,
2024-08-08 17:00:00+00:00,,,,,,,,
2024-08-08 18:00:00+00:00,,,,,,,,
2024-08-08 19:00:00+00:00,,,,,,,,
2024-08-08 20:00:00+00:00,,,,,,,,
2024-08-08 21:00:00+00:00,,,,,,,,
2024-08-08 22:00:00+00:00,38.861,68.383,45.681,81.841,43.636,54.322,50.848,69.05
2024-08-08 23:00:00+00:00,30.578,55.953,33.991,75.252,36.045,40.764,44.547,57.347
2024-08-09 00:00:00+00:00,26.099,49.81,25.029,75.253,30.821,32.144,40.337,50.944
2024-08-09 01:00:00+00:00,21.31,45.974,25.033,71.663,26.032,26.984,38.731,45.986
2024-08-09 02:00:00+00:00,18.075,43.52,24.312,67.997,23.56,24.21,37.601,42.956
2024-08-09 03:00:00+00:00,15.466,41.443,23.255,65.03,21.64,22.133,36.086,40.366
2024-08-09 04:00:00+00:00,15.098,40.503,22.57,64.466,21.679,21.452,36.333,39.887
2024-08-09 05:00:00+00:00,16.327,41.361,23.359,66.158,23.033,21.848,37.686,40.722
2024-08-09 06:00:00+00:00,14.992,39.913,22.753,65.36,21.569,20.261,36.619,39.047
2024-08-09 07:00:00+00:00,13.191,38.896,21.976,63.676,20.123,18.833,35.72,37.457
2024-08-09 08:00:00+00:00,11.998,37.456,20.758,61.999,18.628,17.464,34.561,36.135
2024-08-09 09:00:00+00:00,10.808,35.825,18.422,60.675,16.855,15.825,32.998,34.668
2024-08-09 10:00:00+00:00,8.322,33.755,15.745,58.172,13.768,13.25,29.742,31.83
2024-08-09 11:00:00+00:00,6.426,32.42,13.884,56.393,11.335,11.722,27.097,30.063
2024-08-09 12:00:00+00:00,6.18,32.271,14.374,56.138,9.823,11.424,26.096,29.799
2024-08-09 13:00:00+00:00,4.402,31.652,16.08,53.46,7.66,11.53,24.936,29.276
2024-08-09 14:00:00+00:00,4.272,30.938,14.702,52.382,7.397,11.778,24.219,29.793
2024-08-09 15:00:00+00:00,8.294,35.106,21.498,56.197,8.367,17.225,26.735,35.227
2024-08-09 16:00:00+00:00,9.439,38.869,32.898,53.258,9.919,26.637,29.722,42.108
2024-08-09 17:00:00+00:00,10.209,38.949,36.183,48.032,12.925,33.775,29.928,47.678
